ID,Name,Topic,SIG,RTE,TRS,TRK,PTS,LXG,Commissioning
Y9,YKROC Kings Cross South,TBD,?,?,?,?,?,?,Planned 03/2020
YA,YKROC Bowesfield & Hartlepool WestCAD,TBD,?,?,?,?,?,?,08/03/2019*
YB,YKROC Middlesborough,TBD,?,?,?,?,?,?,Planned 07/2021
YC,YKROC Peterborough,TBD,?,?,?,?,?,?,Planned 12/2021
YD,YKROC Tyneside 1,TBD,?,?,?,?,?,?,Planned 05/2022
YE,YKROC Tyneside 2,TBD,?,?,?,?,?,?,Planned 05/2022
YO,Yoker SCC MCS,TD_SW_SIG_AREA,✔,✔,✔,✔,✔,,
ZA,Ashford TDC,TD_KENT_MCC_SIG_AREA,,,,,,,
ZB,Bournemouth TDC,TD_WESS_SIG_AREA,,✔,,,,,
ZE,Eastbourne TDC,TD_SUSS_SIG_AREA,,,,,,,Planned decommissioning 02/12/2019
ZG,Guildford TDC,TD_WESS_SIG_AREA,✔,✔,,,,,
ZH,Horsham TDC,TD_SUSS_SIG_AREA,,,,,,,
ZR,Rainham TDC,TD_KENT_MCC_SIG_AREA,,,,,,,
ZY,Yeovil TDC,TD_WESS_SIG_AREA,✔,✔,✔,,,,
