STANOX,LOCATION,STANME
754,"NOISY-LE-SEC         (FRANCE)","NOISY L S"
755,"PARIS LEL","PARIS LEL"
756,"PARIS LE LANDE DEPOT (FRANCE)","PARIS LEL"
757,"VALENTON YARD        (FRANCE)",VALENTON
758,"PIERREFITTE-STAINS   (FRANCE)",PIERREFIT
759,"CONLANS-JARNY        (FRANCE)",CONFLANSJ
760,"LONGUYON             (FRANCE)",LONGUYON
761,"EURRE                (FRANCE)",EURRE
762,"FORBACH              (FRANCE)",OIGNIES
763,"OIGNIES              (FRANCE)",AULNAY
764,"METZ                 (FRANCE)","METZ SBLN"
765,"SARREBOURG           (FRANCE)",SARREBORG
766,"WOIPPY               (FRANCE)",WOIPPY
767,"STRASBOURG HAUSBERGEN    (FR)",STRASBORG
768,"BOURG ST MAURICE     (FRANCE)","BOURG MAR"
769,"CULMONT-CHALINDREY   (FRANCE)","CULMONT C"
770,"CHAUMONT             (FRANCE)",CHAUMONT
771,"DIJON-PERRIGNY       (FRANCE)","DIJON PER"
772,"GEVREY               (FRANCE)",GEVREY
773,"MONTBELIARD          (FRANCE)",MONTBELRD
774,"MACON-VILLE          (FRANCE)","MACON VIL"
775,"LYON GUILLOTIERE     (FRANCE)","LYON GUIL"
776,"LYON VENISSIEUX      (FRANCE)","LYON VENI"
777,"MULHOUSE NORD        (FRANCE)","MULHOUS N"
778,"MULHOUSE ILE NAPOLEAN GAR (FR)","MULHOUS G"
779,"BORGE-EN-BRESSE      (FRANCE)","BORGE ENB"
780,"AMBERIEU             (FRANCE)",AMBERIEU
781,"MONDANE              (FRANCE)",MODANE
782,"LA-VOULTE-SUR-RHONE  (FRANCE)","LA VOULTE"
783,"AVIGNON              (FRANCE)",AVIGNON
783,"AVIGNON VILLE",AVIGNON
784,"AVIGNON              (FRANCE)",AVIGNON
785,"CHAMBERY-CHALLES-LES-EAUX (FR)",CHAMBERY
786,"NIMES                (FRANCE)",NIMES
787,"NARBONNE             (FRANCE)",NARBONNE
788,"PERPIGNAN ROUSSILLON (FRANCE)",PERPIGNAN
789,"LES AUBRAIS-ORLEANS  (FRANCE)","L AUBRAIS"
790,"POITIERS             (FRANCE)",POITIERS
791,"LYON-PERRACHE        (FRANCE)","LYON PERR"
792,"BORDEAUX ST. JEAN ",BORDEAUX
792,"BORDEAUX-BASTIDE ",BORDEAUX
793,"TOURNUS              (FRANCE)",TOURNUS
794,"PERPIGNAN            (FRANCE)",PERPIGNAN
795,"LYON VENISSIEUX      (FRANCE)","LYON VENI"
796,"HENDAYE              (FRANCE)",HENDAYE
797,"DOURGES DELTA 3      (FRANCE)",DOURGESD3
798,"CERBERE              (FRANCE)",CERBERE
799,"MARNE-LA-VALLEE      (FRANCE)","MARNE VAL"
839,TOURNAI,TOURNAI
841,ATH,ATH
844,HALLE,HALLE
845,"FRENCH/BELGIAN BORDER TGV LINE",BORDERTGV
846,MOUSCRON,MOUSCRON
848,MEREBEKE,MERELBEKE
850,"BRUSSELS MIDI (BELGIUM)","BRUS MIDI"
855,"BRUSSELS FOREST DEPOT",BRSFOREST
856,BRSFOREST,BRSFOREST
857,MUIZEN,MUIZEN
859,LIEGE,LIEGE
861,NAMUR,NAMUR
865,ARLON,ARLON
868,GENK,GENK
871,"MONTZEN YARD",MONTZEN
889,BETTEMBOURG,BETTEMBRG
907,"TILBURG WORKS",TILBURGWK
909,"ROOSENDAAL C.S",ROOSNDAAL
916,"KIJFHOEK YARD",KIJFHOEKY
918,"ROTTERDAM C.S",ROTTERDAM
927,"DEN HAAG C.S","DEN HAAG"
933,HOOFDDORP,HOOFDDORP
937,SCHIPOL,SCHIPOL
950,"AMSTERDAM C.S",AMSTERDAM
1000,"SCOTLAND TRA",SCOTLAND
1001,"THURSO STN",THURSO
1002,"GEORGEMAS JUNCTION",GORGMASJN
1003,"THURSO SIDINGS",THURSOU
1004,WATTEN,WATTEN
1005,"WICK STN",WICK
1006,"WICK SIDINGS","WICK SDGS"
1007,"GEORGEMAS JUNCTION SIDINGS","GEORG SDG"
1008,"GEORGEMAS JN STN",GEORGMASJ
1008,"HOY L.C.",GEORGMASJ
1009,"SCOTSCALDER STN",SCTSCALDR
1010,"ALTNABREAC STN",ALTNABRC
1011,ALTNABREAC,ALTNABREC
1012,"FORSINARD STN",FORSINARD
1012,"FORSINARD L.C.",FORSINARD
1013,"KINBRACE STN",KINBRACE
1014,"FORSINARD SIDING",FRSNRDSDG
1015,"KILDONAN STN",KILDONAN
1016,"HELMSDALE STN",HELMSDALE
1017,"HELMSDALE SIDING","HELMS SDG"
1018,"KINBRACE TIMBER LOADING POINT",KINBRCELP
1019,LOTH,LOTH
1020,HALKIRK,HALKIRK
1021,"BRORA STN",BRORA
1021,"BRORA L.C.",BRORA
1022,"BRORA SIDING","BRORA SDG"
1023,"DUNROBIN CASTLE STN",DUNROBIN
1024,"GOLSPIE STN",GOLSPIE
1024,"KIRKTON L.C.",GOLSPIE
1025,"DUNROBIN CASTLE",DUNROBN
1026,BOWER,BOWER
1027,"ROGART STN",ROGART
1028,ACHEILIDH,ACHEILIDH
1029,"WICK GF","WICK GF"
1030,"LAIRG SOUTH SHUNT","LAIRG SS"
1031,"LAIRG STN",LAIRG
1031,"LAIRG L.C.",LAIRG
1032,"LAIRG SIDINGS","LAIRG SDG"
1033,"LAIRG OIL SIDINGS","LAIRG OS"
1035,"INVERSHIN STN",INVERSHIN
1037,"CULRAIN STN",CULRAIN
1041,"ARDGAY STN",ARDGAY
1042,"ARDGAY SIDING",ARDGAYSDG
1043,EDDERTON,EDDERTON
1044,"TAIN STN",TAIN
1045,"TAIN SIDING","TAIN SDG"
1047,"FEARN STN",FEARN
1048,"FEARN SIDINGS","FEARN SDG"
1051,DELNY,DELNY
1052,"INVERGORDON NO 2 SDG",IVRGRDN
1053,"INVERGORDON STN",INVERGRDN
1053,"INVERGORDON C.E.",INVERGRDN
1054,INVERGORDON,IVRGRDNAL
1058,"ALNESS STN",ALNESS
1060,"EVANTON I.B.",INVERGRDN
1060,EVANTON,INVERGRDN
1069,"FODDERTY I.B.",FODDERTY
1070,"KYLE OF LOCHALSH SIDING","KYLE SDG"
1071,"KYLE OF LOCHALSH STN",KYLEOFLOC
1071,"SECTION MAN DINGWALL CONC",KYLEOFLOC
1072,"DUIRINISH STN",DUIRINISH
1073,"PLOCKTON STN",PLOCKTON
1074,"DUNCRAIG STN",DUNCRAIG
1075,"STROMEFERRY STN",STROMEFRY
1076,"ATTADALE STN",ATTADALE
1077,"STRATHCARRON STN",STRCARRON
1077,"STRATHCARRON L.C.",STRCARRON
1078,"ACHNASHELLACH STN",ACHNASHEL
1078,"BALNACRA L.C.",ACHNASHEL
1079,"ACHNASHEEN STN",ACHNASHEN
1080,"ACHNASHEEN SIDING",ACHSHNSDG
1081,"ACHANALT STN",ACHANALT
1082,"LOCHLUICHART STN",LOCHUHRT
1083,"GARVE STN",GARVE
1083,"GARVE L.C.",GARVE
1084,"GARVE SIDING","GARVE SDG"
1085,"STRATHCARRON SIDING",STHCRNSDG
1086,GLENCARRON,GLENCARON
1087,ACHTERNEED,ACHTRNEED
1088,LENTRAN,LENTRAN
1089,"BEAULY STN",BEAULY
1090,CLACHNAHARRY,CLACHHARY
1091,"DINGWALL STN",DINGWALL
1091,"DINGWALL NO1 L.C.",DINGWALL
1092,"DINGWALL SIDING",DINGWLSDG
1093,CLUNIS,CLUNES
1094,"MUIR OF ORD STN",MUIROFORD
1095,"MUIR OF ORD DOWN SIDING","MUIRFD US"
1096,"MUIR OF ORD UP SIDING","MUIRFD DS"
1097,"INVERNESS SIGNAL I410",IVRN410
1098,"ROSE STREET","ROSE ST"
1099,"MILBURN JN SIG I387 INVERNESS",IVRN387
1100,"INVERNESS STN",INVERNESS
1100,ALLANFERN,INVERNESS
1101,"CONON BRIDGE","CONON BR"
1102,INVERNESS,IVRNRSL
1104,INVERNESS,IVRNBC
1105,"INVERNESS (FLHH)",INVERNSS
1109,"INVERNESS MILBURN JUNCTION",INVERNSMJ
1110,"INVERNESS YARD C&W",INVERNSCW
1111,"INVERNESS YARD",INVERNSYD
1112,"INVERNESS CSMD",INVERNCMD
1113,"INVERNESS TMD",INVRNSTMD
1114,"INVERNESS FREIGHT SDGS (DRS)",INVRNFSDR
1115,INVERNESS,INVERNES
1116,"INVERNESS NEEDLEFIELD DEPOT",INVERNSNF
1117,"INVERNESS BRANCH LINE",INVERNSBL
1119,"INVERNESS FREIGHT DEPOT",INVERNSFD
1120,"WELSHS BRIDGE",WELSHSBDG
1121,DALCROSS,DALCROSS
1122,GOLLANFIELD,GOLLANFLD
1123,BRODIE,BRODIE
1125,"NAIRN STN",NAIRN
1126,"NAIRN SIDING","NAIRN SDG"
1127,"FORRES STN",FORRES
1128,"FORRES LOOP","FORRES LP"
1130,CRADLEHALL,CRADLEHAL
1131,CULLODEN,CULLODEN
1132,DAVIOT,DAVIOT
1133,MOY,MOY
1134,TOMATIN,TOMATIN
1136,SLOCHD,SLOCHD
1137,"AVIEMORE SIGNAL AV29","AVMRE S29"
1138,"CARRBRIDGE STN",CARRBRIDG
1139,"CARRBRIDGE SIDING",CARRBRSDG
1140,"AVIEMORE DOWN REFUGE SIDING","AVMRE DRS"
1141,"AVIEMORE UP REFUGE SIDING","AVMRE URS"
1142,"AVIEMORE (SPEYSIDE)",AVMRESPEY
1143,"BOAT OF GARTEN",BOATOFGN
1144,"AVIEMORE STN",AVIEMORE
1145,KINCRAIG,KINCRAIG
1146,KINGUSSIE,KGUSCE
1147,"KINGUSSIE STN",KINGUSSIE
1151,"NEWTONMORE STN",NEWTNMORE
1152,INCHLEA,INCHLEA
1154,"DALWHINNIE STN",DALWHINIE
1155,"DALWHINNIE SIDING",DALWHNSDG
1157,DALNASPIDAL,DALNSPDAL
1160,STRUAN,STRUAN
