STANOX,LOCATION,STANME
8521,"PRESTWICK INT. AIRPORT STN",PRSINTAPT
8522,PRESTWICK,PRSTWKOIL
8523,"PRESTWICK TOWN STN",PRESTWICK
8524,"BP OIL PRESTWICK (COLAS)",PRSTOILCR
8599,"FALKLAND UP YARD REPAIR POINT",FALKLDYRP
8600,"FALKLAND UP YARD",FALKLNDUY
8601,"FALKLAND DOWN GOODS LOOP",FALKLDDGL
8602,"FALKLAND JN",FALKLNDJN
8603,"FALKLAND FREIGHT TERMINAL",FALKLNDFT
8604,"AYR SIGNAL PA355","AYR PA335"
8605,"NEWTON ON AYR STN",NEWTNONAY
8606,ANNBANK,ANNBANK
8607,"AYR HARBOUR",AYRHARBOR
8607,ABP,AYRHARBOR
8608,"AYR HARBOUR (FLHH)",AYRHARBR
8609,"NEWTON JN","NEWTON JN"
8614,"AYR DEPOT","AYR DEPOT"
8615,"AYR WAGON REPAIR DEPOT","AYR WRD"
8616,"AYR SIG 859","AYR 858"
8617,"AYR SIGNAL PA853","AYR PA853"
8618,"AYR STN",AYR
8620,"BELMONT (AYRSHIRE)",BELMNTAYR
8621,"AYR TOWNHEAD STN",AYRTOWNHD
8623,"DALRYMPLE JUNCTION",DALRYLEJN
8631,"HOLEHOUSE JUNCTION","HOLE HSEJ"
8632,"BROOMHILL COAL SIDING",BROOMHILL
8633,DUNASKIN,DUNASKIN
8634,"CHALMERSTON (FLHH)",CHALSTNFL
8635,CHALMERSTON,CHALMSTON
8636,DALMELLINGTON,DALMELGTN
8639,"MAYBOLE STN",MAYBOLE
8640,DAILLY,DAILLY
8641,PINWHERRY,PINWHERRY
8642,KILKERRAN,KILKERRAN
8643,PINMORE,PINMORE
8644,"GIRVAN UP SIDING","GIRVAN US"
8645,"BARRHILL STN",BARRHILL
8646,"GIRVAN STN",GIRVAN
8647,GLENWHILLY,GLENWHILY
8648,DUNRAGIT,DUNRAGIT
8649,"STRANRAER TOWN",STRNTSH
8650,"STRANRAER YARD G F",STRANYDGF
8651,"STRANRAER TOWN","STRANR TN"
8652,"GLENWHILLY LOOP","GLNWLY LP"
8653,"STRANRAER STN",STRANRAER
8653,"STRANRAER HARBOUR",STRANRAER
8661,"AYR AUCHINCRUIVE",AYRAUCHIN
8663,"KILLOCH COLLIERY",KILLOCH
8664,"KILLOCH COLLIERY (FLHH)","KILLOCH C"
8701,"DUNLOP STN",DUNLOP
8703,"STEWARTON STN",STEWARTON
8704,"KILMAURS STN",KILMAURS
8708,"KILMARNOCK BONNYTON DEPOT",KILBONNDT
8709,"KILMARNOCK LONG LYES",KMARNCKLL
8710,"KILMARNOCK SIG K72",KMARNCK72
8711,"KILMARNOCK HILL STREET",KILMWKR
8712,"KILMARNOCK STN",KILMARNCK
8718,"KILMARNOCK (HUNSLET BARCLAY)",KILMBCY
8723,RICCARTON,RICCARTON
8727,"KAY PARK JUNCTION","KAY PARKJ"
8732,BARLEITH,BARLEITH
8734,HURLFORD,HURLFORD
8736,"CESSNOCK WATER VIADUCT","CASSNK WV"
8812,"MAUCHLINE UP SIDINGS","MCHLNE US"
8813,"MAUCHLINE JUNCTION","MCHLNE JN"
8825,"AUCHINLECK STN",AUCHINLCK
8826,"POWHARNAL AUCHINLECK",POWHARNAL
8828,"GREENBURN (FLHH)",GREENBNFL
8829,"BANK JUNCTION","BANK JN"
8830,GREENBURN,GREENBURN
8831,"KNOCKSHINNOCH SIG NC15",KNOKSHN15
8833,"GREENBURN JUNCTION",GREENBNJN
8834,"NEW CUMNOCK STN",NEWCUMNCK
8835,"NEW CUMNOCK UP SIDING","NCMNK US"
8836,"NEW CUMNOCK UP GOODS LOOP","NCMNK UGL"
8837,"NEW CUMNOCK UP SIDING (FLHH)","NCUMNK US"
8838,"NEW CUMNOCK (GBRF)","NCUMNK GB"
8841,"KIRKCONNEL STN",KIRKCONEL
8842,"KIRKCONNEL DOWN REFUGE SIDING","KCONL DRS"
8845,"SANQUHAR STN",SANQUHAR
8847,CARRONBRIDGE,CARRONBGE
9013,THORNHILL,THORNHILL
9014,"THORNHILL UP LOOP",THORNHLLP
9015,CLOSEBURN,CLOSEBURN
9016,AULDGIRTH,AULDGIRTH
9017,HOLYWOOD,HOLYWOOD
9019,"DUMFRIES MAXWELLTOWN",MAXWELLTN
9021,"DUMFRIES MAXWELLTOWN",MAXWLTORG
9022,"DUMFRIES STN",DUMFRIES
9023,"DUMFRIES DOWN YARD","DMFRIS DY"
9024,"DUMFRIES UP SIDING","DMFRIS US"
9026,"DUMFRIES SOUTH JUNCTION","DMFRIS SJ"
9027,WATH,WATH
9028,RUTHWELL,RUTHWELL
9032,"ANNAN DOWN REFUGE SIDING","ANNAN DRS"
9033,"ANNAN STN",ANNAN
9034,RIGG,RIGG
9035,EASTRIGGS,EASTRIGGS
9036,"EASTRIGGS CROSSOVER",EASTRGSXO
9085,"GRETNA GREEN STN","GRETNA GN"
9093,"GRETNA JUNCTION SIGNAL CE525",GRETNA525
9094,"GRETNA JUNCTION SIGNAL CE526",GRETNA526
9095,"GRETNA JUNCTION","GRETNA JN"
9097,"MOSSBAND JUNCTION",MOSSBAND
9099,FLORISTON,FLORISTON
9131,LONGTOWN,LONGTOWN
9132,"LONGTOWN MOD REPAIR POINT","LONGTN RP"
9142,"HARKER KINGSTOWN",HARKERKNG
9144,"BRUNTHILL CARLISLE (FLHH)",BRUNTHILL
9145,"STAINTON JUNCTION",STAINTNJN
9146,"CARLISLE (LOADLINES)",CARLISLEX
9147,"CARLISLE B GROUP SIDINGS","CSLE B GP"
9148,"CARLISLE KINGMOOR MAINT DEPOT","CSLE KMMD"
9149,"CARLISLE KINGMOOR",CSLEKMDRS
9150,"CARLISLE YARD",CARLISLEY
9151,"CARLISLE YARD REPAIR SDGS",CSLEKMYD
9152,"CARLISLE KINGMOOR JN","CSLE KMYD"
9153,"CARLISLE KINGMOOR JN","CSLE KMRJ"
9153,"CARLISLE CE 464 SIGNAL","CSLE KMRJ"
9154,"CARLISLE YARD (DRS)","CSLE YARD"
9155,"CARLISLE YARD (COLAS)","CSLE YD"
9156,"CARLISLE B GROUP REPAIR POINT",CARLISLRP
9157,"CARLISLE KINGMOOR UP LOOP","CSLE KMUL"
9158,"CARLISLE NY DBS LOCO MAINT PT",CSLEOCMP
9159,"CALDEW JN","CALDEW JN"
9160,"CARLISLE HIGH WAPPING SDGS",CSLEHWAPP
9161,CARLISLE,CARLISLE
9161,"STATION L H S",CARLISLE
9162,"CARLISLE STATION BALLAST","CSLE BLST"
9163,"CARLISLE HIGH WAPPING SDGS",CSLEHWAPS
9164,"KINGMOOR YARD DOWN DEPART",KNGMRDDEP
9165,"CARLISLE KINGMOOR SIG 481",CSLEKM481
9166,"CARLISLE KINGMOOR SIG 482",CSLEKM482
9167,"CARLISLE KINGMOOR SIG UD1",CSLEKMUD1
9168,"CARLISLE CE 335 SIG",CRLSLE335
9171,"CARLISLE LONDON RD FREIGHT DT",CSLELRDFD
9171,"ESSO(PETTERIL BRIDGE)",CSLELRDFD
9172,"CARLISLE LONDON ROAD CCD","CSLELRD B"
9174,"CARLISLE LONDON ROAD","CSLELRD W"
9175,"CARLISLE LONDON ROAD","CSLELRD M"
9177,"CARLISLE ST NICHOLAS",STNICHLAS
9178,"CARLISLE NE SHUNT NECK",CSLENESNK
9179,"CARLISLE LONDON ROAD JN",CSLELRDJN
9180,"PETTERILL BRIDGE JN",PETTRLBJN
9180,"CARLISLE CE 404 SIGNAL",PETTRLBJN
9190,"CARLISLE CURROCK JN",CURROCKJN
9191,"CARLISLE CURROCK",CURROCK
9193,"CARLISLE BOG JN",CSLEBOGJN
9194,"UPPERBY UP THROUGH GL",UPPBYUTGL
9194,"UPPERBY UP THROUGH GOODS LINE",UPPBYUTGL
9195,"CARLISLE UPPERBY T&RSMD",CSLETRSMD
9195,"UPPERBY MD",CSLETRSMD
9196,"CARLISLE UPPERBY",CSLEUPCE
9197,"CARLISLE UPPERBY","CSLE UPP"
9198,"CARLISLE UPPERBY JN",CSLEUPPJN
9199,"CARLISLE UPPERBY BRIDGE JN",UPPBYBGJN
9205,"CUMMERSDALE VIADUCT",CUMERDALE
9211,"DALSTON (BP OIL)",DALSTN
9212,"DALSTON OIL TERMINAL(GF)",DALSTNOIL
9213,DALSTON,DALSTON
9217,ROSEWAIN,ROSEWAIN
9221,"WIGTON STN",WIGTON
9222,"WIGTON (BRIT SIDAC)",WIGTONBS
9224,"WAVER VIADUCT",WAVER
9226,BRAYTON,BRAYTON
9306,SOUTHWAITE,STHWAITE
9308,"PLUMPTON UP GOODS LOOP","PLUM UGL"
9309,"LONG ASHES",LONGASHES
9311,PENRITHCE,PENRITHCE
9312,PENRITH,PENRITH
9313,"PENRITH SOUTH JN",PENRITHSJ
9314,"EDEN VALLEY GOODS LOOP",EDENVLYGL
9315,CLIFTON&LOWTHER,CLIFTON&L
9318,"SHAP SIG CE148","SHAP 148"
9319,"SHAP HARRISONS QUARRY GBRF",SHAPHARGB
9320,"SHAP DOWN GOODS LOOP","SHAP DGL"
9321,"SHAP HARRISONS SDGS","SHAP HARR"
9322,"HARDENDALE QUARRY SHAP",HARDNDALE
9323,"HARDENDALE QUARRY GBRF",HARDNDLGB
9324,"Shap Summit Ribblsdale Cmt","SHAP QRRY"
9325,"SHAP SUMMIT (FLHH)","SHAP SUMM"
9326,"SHAP SUMMIT","SHAP SUMT"
9327,"SHAP SUMMIT UP GOODS LOOP",SHAPSMUGL
9327,"UP GOODS LOOP",SHAPSMUGL
9328,"SHAP HARDENDALE QUARRY JN",HARDNDLQJ
9330,TEBAY,TEBAY
9331,TEBAY,"TEBAY CE"
9333,LOWGILL,"LOW GILL"
9335,GRAYRIGG,GRAYRIGG
9337,LAMBRIGG,LAMBRIGG
9339,"BORROW BROOK",BORROWBRK
9413,"HOWE & CO SDG",HOWE&COSG
9414,"LOW HOUSE CROSSING SIGNAL BOX","LOWHSE SB"
9415,"ARMATHWAITE STN",ARMATHWTE
9416,"LAZONBY AND KIRKOSWALD STN",LAZONBYKO
9417,"NEW BIGGIN (DRS)",NEWBIGNDR
9418,"LANGWATHBY STN",LANGWTHBY
9419,"CULGAITH CROSSOVER",CULGAITH
9420,"KIRKBY THORE SIGNAL BOX","KTHORE SB"
9421,"NEW BIGGIN",NEWBIGGIN
9422,"NEW BIGGIN",NWBIREP
9423,"KIRKBY THORE SIGNAL KT55","KTHORE 55"
9424,"LONG MARTON",LMARTNVDT
9425,"NEW BIGGIN (GBRF)",NEWBIGGN
9426,"APPLEBY STN",APPLEBY
9427,"APPLEBY NORTH EAST SDG",APPLEBYSD
9428,WARCOP,WARCOP
9429,ORMSIDE,ORMSIDE
9430,"HELM TUNNEL","HELM TNL"
9431,"CROSBY GARRETT",CROSBYGTL
9434,"KIRKBY STEPHEN URS","NETWORK RAIL"
9435,"KIRKBY STEPHEN KS9","NETWORK RAIL"
9436,"KIRKBY STEPHEN STN","K STEPHEN"
9437,"BIRKETT TUNNEL",BIRKETTTL
9438,"AIS GILL","AIS GILL"
9439,MALLERSTANG,MALLERSTG
9440,"GARSDALE STN",GARSDALE
9441,GARSDALE,GARSCE
9443,"DENT STN",DENT
9445,"BLEA MOOR",BLEAMOOR
9446,"BLEA MOOR UGL",BLEAMRUGL
9508,"RIBBLEHEAD STN",RIBBLEHD
9509,"RIBBLEHEAD VIRTUAL QUARRY",RIBBLHDVQ
9510,"RIBBLEHEAD VIADUCT",RIBLHDVDT
9513,"HORTON IN RIBBLESDALE STN",HORTONINR
9515,SMARDALE,SMARDALE
9517,"HELWITH BRIDGE",HELWTHBGE
9521,"SETTLE STN",SETTLE
9522,"SKIPTON SOUTH JN SIG L4549",SKIPL4549
9523,"SETTLE JN","SETTLE JN"
9524,"SKIPTON SOUTH JN SIG L4031",SKIPL4031
9525,"LONG PRESTON STN",LNGPRESTN
9526,"HELLIFIELD GOODS LOOPS","HELFD GLS"
9527,"HELLIFIELD STN",HELLIFLD
9528,"HELLIFIELD (WCR)",HELIFIELD
9529,"GARGRAVE STN",GARGRAVE
9530,"SKIPTON SIGNAL L4046",SKIPL4046
9531,"SKIPTON STN",SKIPTON
9532,"SKIPTON BROUGHTON ROAD CARR SD",SKIPTBRCS
9533,"SKIPTON LOCO HOLDING SDG",SKIPTNLHS
9535,"SKIPTON DOWN SHIPLEY SLOW",SKIPTNDSS
9536,"SKIPTON DOWN STABLING SDG","SKIPT DSS"
9540,"RYLSTONE (MARCROFT)","RYLSTNE M"
9541,"RYLSTONE (TARMAC)",RYLSTON
9542,"RYLSTONE (GBRF)",RYLSTNEGB
9543,"RYLSTONE (SWINDEN) QUARRY",RYLSTEQRY
9545,"RYLSTONE LEVEL CROSSING","RYLSTE LC"
10000,"ANGLIA TRA",ANGLIARTE
10021,"ASPATRIA STN",ASPATRIA
10023,"MARYPORT STN",MARYPORT
10026,"FLIMBY STN",FLIMBY
10031,"SIDDICK JN",SIDDICKJN
10033,"WORKINGTON DOCKS (DRS)",WKGTDKDRS
10034,"WORKINGTON DOCKS REPAIR POINT",WKGTNDKRP
10035,"WORKINGTON DOCKS","WKGTON DK"
10036,"WORKINGTON DOCKS",WKGTONDKS
10037,"WORKINGTON DOCKS (FLT)","WKGTN DKS"
10039,"DERWENT JN",DERWENTJN
10041,"WORKINGTON FREIGHT DEPOT","WKGTON FD"
10043,"WORKINGTON TOWN",WORKNGTN
10050,"WORKINGTON STN",WORKINGTN
10050,"WORKINGTON UP & DN RECP LINE",WORKINGTN
10051,"WORKINGTON MAIN NO.2 SB",WORKTNMSB
10052,"WORKINGTON DISTGTN & WISCO WKS",WKNTMBI
10055,"WORKINGTON YARD","WKGTON YD"
10056,"WORKINGTON YARD REPAIR POINT",WKGTONYRP
10057,"HARRINGTON STN",HARRNGTON
10058,"PARTON NORTH JN","PARTON NJ"
10059,"PARTON STN",PARTON
10101,"WHITEHAVEN STN",WHITEHAVN
10118,"WHITEHAVEN PRESTON STREET FD",PRSTNSTFD
10119,"WHITEHAVEN PRESTON STREET",PRESTONST
10123,"CORKICKLE YARD","CORKLE YD"
10124,"CORKICKLE STN",CORKICKLE
10125,"CORKICKLE (CLINKER)",CORKLECLI
10128,"CORKICKLE (CAUSTIC)",CORKLECAU
10130,"MIREHOUSE JN",MIREHSEJN
10195,"BRAYSTONES STN",BRAYSTONS
10197,"NETHERTOWN STN",NETHRTOWN
10199,"ST BEES STN","ST BEES"
10201,"SELLAFIELD STN",SELLAFLD
10202,"SELLAFIELD (BNFL)",SELAFLDBN
10203,"SEASCALE STN",SEASCALE
10204,"DRIGG (BNFL)",DRIGBNF
10205,"DRIGG STN",DRIGG
10206,"RAVENGLASS STN",RAVENGLAS
10207,"SELLAFIELD (DBS)",SELLAFD
10208,"SELLAFIELD (DRS)",SELLFDC&W
10209,"SELLAFIELD UP SDGS 1&2(DRS)","SELLFD US"
10210,"SELLAFIELD SIG SD18",SELLAFD18
11001,"WINDERMERE STN",WINDERMRE
11003,"STAVELEY STN",STAVELEY
11005,"BURNESIDE STN",BURNESIDE
11007,"KENDAL STN",KENDAL
11009,"OXENHOLME UP GOODS LOOP",OXENHMUGL
11010,"OXENHOLME DOWN GOODS LOOP",OXENHMDGL
11011,"OXENHOLME CE",OXENHOLMC
11012,"OXENHOLME STN",OXENHOLME
11015,MILNTHORPE,MILNTHORP
11207,ESKMEALS,ESKMEALS
11208,WHITBECK,WHITBECK
11209,"BOOTLE (CUMBRIA)STN",BOOTLE
11210,"SILECROFT STN",SILECROFT
11211,"MILLOM STN",MILLOM
11212,"MILLOM DOWN SDG","MILLOM SD"
11213,"MILLOM (MP44)","MLM MP44"
11215,"GREEN ROAD STN",GREENROAD
11221,"FOXFIELD STN",FOXFIELD
11223,"KIRKBY IN FURNESS STN",KIRKBYINF
11225,"ASKAM STN",ASKAM
11226,"ASKAM SIG AM6",ASKAM6
11227,"PARK SOUTH JN",PARKSTHJN
11231,"BARROW IN FURNESS STN",BARROW
11231,"BARROW FITTERS",BARROW
11232,"BARROW IN FURNESS SIG 52/53/54",BAR525354
11233,"BARROW IN FURNESS CARRIAGE SDS",BINFCARSD
11243,"BARROW IMARINE TERMINAL","BARROW MT"
11247,"BARROW IN FURNESS RAMSDEN DOCK",BARROWABP
11249,"BARROW YARD","BARROW YD"
11259,"SALTHOUSE JN",SALTHSEJN
11261,"ROOSE STN",ROOSE
11262,"PARK HOUSE FARM",PKHSEFARM
11269,"DALTON JN","DALTON JN"
11271,"DALTON STN",DALTON
11273,"LINDAL TUNNEL","LINDAL TL"
11311,"ULVERSTON STN",ULVRSTNFS
11312,"ULVERSTON (FUEL SVCS CUMBRIA)",ULVERSTON
11321,"PLUMPTON JN       ULVERSTON",PLUMPTONJ
11331,"CARK & CARTMEL STN",CARK&CART
11341,"KENTS BANK STN",KENTSBANK
11401,"GRANGE OVER SANDS STN","GRANGE OS"
11402,"GRANGE-OVER-SANDS SIG 4",GRANGEOS4
11403,"ARNSIDE STN",ARNSIDE
11405,"SILVERDALE STN",SILVERDLE
11511,"CARNFORTH (R HODGSON)",CARNFORT
11515,"CARNFORTH F&M JN",CRNFTHF&M
11519,"CARNFORTH UP & DOWN GOODS LP",CRNFTU&DG
11522,"CARNFORTH (WCR)",CARNFTHST
11523,"CARNFORTH (DBS)",CARNFTHTC
11524,"CARNFORTH BOTTOM END SDGS",CRNFTHBES
11525,"CARNFORTH STN",CARNFORTH
11526,"CARNFORTH NORTH JN",CRNFTHNJN
11527,"CARNFORTH LHS",CRNFTHLHS
11528,"CARNFORTH BOTTOM END SDGS","CRNFTH BE"
11529,"CARNFORTH PLANT SDG",CRNFTHPSD
11530,"CARNFORTH UPL",CRNFTHUPL
11531,"CARNFORTH DOWN SDGS","CRNFTH DS"
11555,"CARNFORTH EAST JN",CRNFTHEJN
11561,"WENNINGTON STN",WENNINGTN
11563,"BENTHAM STN",BENTHAM
11565,"CLAPHAM (NORTH YORKSHIRE)STN",CLAPHAMYK
11567,"GIGGLESWICK STN",GIGGLESWK
11603,"HEYSHAM (BRIT ENERGY)",HEYSHAM
11610,"PORT OF HEYSHAM","PT HEYSHM"
11611,"HEYSHAM PORT STN",HEYSHAMPT
11611,"SEA TERMINAL",HEYSHAMPT
11701,"MORECAMBE STN",MORECAMBE
11703,"MORECAMBE JN       GF","MORECJ GF"
11711,"BARE LANE STN","BARE LANE"
11716,"HEST BANK JN",HESTBNKJN
11718,"MORECAMBE SOUTH JN","MORCM SJN"
11720,"LANCASTER STN",LANCASTER
11722,"LANCASTER SOUTH JN       UGL",LANCSTUGL
11723,OUBECK,OUBECK
11725,"BAY HORSE","BAY HORSE"
11726,"WYRE VIADUCT","WYRE VDT"
11727,"GARSTANG & CATTERAL",GARSTNG&C
12000,"BERWICK UPON TWEED NTH DN SDS","BERWK DNS"
12001,"BERWICK UPON TWEED STN",BERWICK
12002,"BERWICK UPON TWEED GOODS LOOPS","BERWK GLP"
12003,TWEEDMOUTH,TWEEDMTH
12005,"TWEEDMOUTH SIGNAL BOX","TWEEDM SB"
12102,"CRAG MILL DOWN LOOP",CRAGMILLD
12103,"CRAG MILL UP LOOP",CRAGMILLU
12104,"CRAG MILL LOOPS",CRAGMILLP
12105,BEAL,BEAL
12106,BELFORD,BELFORD
12107,"TILCON QUARRY",BELFRDDRS
12107,"BELFORD DRS",BELFRDDRS
12108,SMEAFIELD,SMEAFIELD
12109,"CHATHILL STN",CHATHILL
12110,"CHRISTON BANK",CHRISTNBK
12111,"LITTLE MILL LEVEL CROSS","LITTLE ML"
12112,"ALNMOUTH STN",ALNMOUTH
12113,"WOODEN GATE JN",WOODNGTEJ
12114,"BELFORD TAMPER SIDINGS",BELFORDTS
12115,"ACKLINGTON STN",ACKLINGTN
12116,"CHEVINGTON LOOP",CHEVINGTN
12117,"WIDDRINGTON EXCHANGE SDGS",WIDDRTNEX
12118,"WIDDRINGTON OPENCAST",WIDDRNGTN
12119,"WIDDRINGTON STN",WIDRINGTN
12120,"WIDDRINGTON OPENCAST",WIDRGTNGB
12121,"BUTTERWELL JN",BUTTWELJN
12122,"CHEVINGTON LOOP DOWN SDG",CHVNGTNDS
12123,"CHEVINGTON NORTH CROSSOVERS",CHVNTNNXO
12124,"PEGSWOOD STN",PEGSWOOD
12125,"ALNMOUTH UP ENG SDGS",ALNMTHUES
12127,"MORPETH NORTH JN",MORPETHNJ
12129,"MORPETH UP PASSENGER LOOP",MORPTHUPL
12131,"MORPETH FREIGHT DEPOT",MORPETHFD
12132,"MORPETH STN",MORPETH
12133,"HEPSCOTT JN",HEPSCOTT
12135,"PLESSEY CROSSOVER",PLESSEY
12136,"CRAMLINGTON STN",CRAMLNGTN
12137,"MORPETH REVERSING SDGS",MORPTHREV
12138,"MORPETH BARMOOR THROUGH SDG",BARMOORTS
12139,KILLINGWORTH,KILLNGWTH
12205,"POTLAND BURN GBRF",PTLNDBNGB
12206,"POTLAND BURN (FHH)",PTLNDBNFL
12207,"POTLAND BURN GB SCHENKER",PTLNDBURN
12208,"BUTTERWELL OPENCAST (GBRF)",BUTTRWLL
12209,"BUTTERWELL OPENCAST",BUTTRWELL
12210,"BUTTERWELL OPENCAST (FLHH)",BUTTERWEL
12211,"BUTTERWELL (DCR)",BUTTRWLDC
12212,"LYNEMOUTH SMELTER GBRF",LYNMTSMGB
12213,"ASHINGTON JN",ASHINTNJN
12214,"ALCAN BRANCH JN","ALCAN BHJ"
12215,"LYNEMOUTH POWER STATION",LYNMTHC
12216,"LYNEMOUTH DBS INT",LYNMTHDBS
12217,"LYNEMOUTH DBS","LYNMTH LH"
12218,"LYNEMOUTH POWER STATION (FLHH)",LYNEMTHPS
12219,"LYNEMOUTH COAL SDGS",LYNMTHACS
12220,"BATTLESHIP WHF NTH BLYTH (FLHH)",NTHBLYTH
12221,"NORTH BLYTH","NBLYTH AL"
12222,"NORTH BLYTH (DBS)",NBLYTHDBS
12223,"NORTH BLYTH LOOP","NTHBLY LP"
12224,"LYNEMOUTH POWER STATION (GBRF)",LYNEMPSGB
12225,"BATTLESHIP WHF NTH BLYTH (GBRF)","NBLYTH GB"
12226,"NORTH BLYTHE R T ALCAN GBRF",NBLTHALGB
12227,"NORTH BLYTH RP GBRF",NBLYTRPGB
12230,"BLYTH TMD","BLYTH TMD"
12231,BLYTH,BLYTCW
12233,"BLYTH WEST STAITHES",WESTBLYTH
12234,"CAMBOIS POWER STATION BLYTH",CAMBOISPS
12235,"FREEMANS LEVEL CROSSING",FREEMNSLC
12236,"BEDLINGTON JN",BEDLINTNJ
12238,"MARCHEYS HOUSE JN",MARCHYSHJ
12239,"WEST SLEEKBURN JN",WSLEEKBNJ
12240,"WINNING CROSSING JN",WINCROSSJ
12241,"BEDLINGTON FURNACEWAY",FURNCEWAY
12243,"BATES STAITHES",BATES
12247,NEWSHAM,NEWSHAM
12251,"SEGHILL NORTH",SEGHILL
12255,"BENTON NORTH JN","BENTON NJ"
12401,"NEWCASTLE AIRPORT",NCASTLEAP
12405,"REGENT CENTRE NEWCASTLE",REGENTCTR
12411,"SOUTH GOSFORTH",STHGOSFTH
12415,"LONGBENTON METRO",LONGBENTN
12419,"BENTON METRO",BENTON
12430,"TYNEMOUTH METRO",TYNEMOUTH
12710,"HEATON SOUTH JN",HEATONSJN
12714,"HEATON T&RSMD","HEATON CS"
12715,"HEATON ECD",HEATONECD
12716,"HEATON NORTH JN",HEATONNJN
12719,"MANORS STN",MANORS
12721,"MANORS METRO",MANOMET
12725,"ST JAMES METRO NEWCASTLE","ST JAMES"
12925,"NEWCASTLE FORTH",FORTH
12927,"NEWCASTLE FORTH BANKS LINE STN",FORTHBKSL
12929,"NEWCASTLE CENTRAL (T&WM)",NCLECTMET
12931,"NEWCASTLE CENTRAL STN",NCASTLCEN
12931,"NEWCASTLE CENTRAL WEST END",NCASTLCEN
12932,"KING EDWARD BDG SOUTH JN",KEBGSTHJN
12933,"KING EDWARD BDG EAST JN NCLE","KEBG EJN"
12934,"KING EDWARD BDG NORTH JN",KEBGNTHJN
13001,"TYNE DOCK",TYNEDOCK
13002,"TYNE DOCK (FLHH)","TYNEDK FL"
13004,"TYNE DOCK (DBS - AUTOMOTIVE)",TYNEDKAUT
13006,"TYNE DOCK (GBRF)","TYNEDK GB"
13007,"TYNE DOCK (GBRF C&W)",TYNEDKC&W
13009,"TYNE DOCK (ADVENZA)","TYNEDK DC"
13033,JARROW,JARROWTML
13142,"WARDLEY OPENCAST DISPOSAL PT","WARDLY OC"
13143,"WARDLEY OPENCAST DISP PT (FLHH)",WARDLEYOC
13148,"PELAW DOWN GOODS LOOP",PELAWDGLP
13149,"PELAW UP GOODS LOOP",PELAWUGLP
13150,FELLGATE,FELLGATE
13151,PELAW,PELAW
13152,"PELAW METRO JN",PELAWMETJ
13153,"PELAW GOODS LOOPS",PELAWGLPS
13154,PELAW,PELAWT&WM
13156,"HEWORTH STN",HEWORTH
13157,"HEWORTH METRO","HEWTH MET"
13202,"GATESHEAD TYNE CFD",GDTYNEFD
13215,"PARK LANE JN       GATESHEAD",PARKJGDHD
13239,"HIGH LEVEL BRIDGE JN",HIGHLBGEJ
13242,"GATESHEAD GREENSFIELD JN",GRNSFDJ
13297,"CORBY GATES SIGNAL BOX",CORBYGSB
13298,"HOW MILL","HOW HILL"
13299,"WETHERAL STN",WETHERAL
13300,"UPPER DENTON",UPPERDENT
13301,"BRAMPTON FELL (CUMBRIA)",BRAMPFELL
13302,"BRAMPTON (CUMBRIA) STN",BRAMPTN
13303,"LOW ROW LC SIGNAL BOX","LOW ROW"
13304,"LONG BYRE","LONG BYRE"
13305,"HALTWHISTLE STN",HALTWHIST
13306,"HALTWHISTLE WEST LODGE LC",HLTWSTWLX
13307,"MELKRIDGE OPENCAST DISPOSAL PT",MELKRIDGE
13308,"MELKRIDGE SIGS HW102 HW51","MLK102 51"
13309,"HALTWHISTLE SIG 57",HLTWSTL57
13310,"HEXHAM TAMPER SIDINGS","HEXHAM TS"
13311,"BARDON MILL STN",BARDONMIL
13313,"HAYDON BRIDGE STN",HAYDONBDG
13314,FOURSTONES,FOURSTONE
13315,"HEXHAM FREIGHT DEPOT","HEXHAM FD"
13316,"HEXHAM STN",HEXHAM
13317,"HEXHAM (ISU)",HEXHCE
13318,"CORBRIDGE STN",CORBRIDGE
13319,"RIDING MILL STN",RIDINGMIL
13320,"HEXHAM SIG HE55 REV",HEXHAM55
13321,"STOCKSFIELD STN",STOCKSFLD
13322,"PRUDHOE STN",PRUDHOE
13327,"WYLAM STN",WYLAM
13403,"BLAYDON STN",BLAYDON
13514,"SWALWELL JN",SWALWELLJ
13515,"GATESHEAD METRO CENTRE",GATSHDMET
13523,"DUNSTON-ON-TYNE STN","DUNSTON T"
13526,"NORWOOD JN",NORWOODJ
13539,"LOW FELL ROYAL MAIL TML",LOWFRMT
13540,"LOW FELL ROYAL MAIL TML (GBRF)","LOW FELL"
13542,"LOW FELL JN","LOW FELLJ"
13543,"LOW FELL",LOWFELL
13544,"LOW FELL SIG T203",LOWFEL203
13545,"LOW FELL SIG T201",LOWFEL201
13548,"TYNE YARD VIRTUAL QUARRY",TYNEYDC&W
13549,"TYNE YARD (NR VIRTUAL Q & TIP)","TYNE YD"
13550,"TYNE YARD (DBS)","TYNE YARD"
13551,"TYNE YARD T&RSMD","TYNE T&RS"
13552,"TYNE YARD SIGNAL TY193","TYNE S193"
13553,"TYNE YARD SIGNAL T176","TYNE T176"
13554,BIRTLEY,BIRTLEY
13565,"OUSTON CROSSOVER",OUSTON
13571,"CHESTER-LE-STREET STN",CHESTERLS
13573,PLAWSWORTH,PLAWSWTH
13695,"DURHAM SIGNAL TY358","DURHM 358"
13697,"DURHAM SIGNAL TY357","DURHM 357"
13700,"HORDEN SIG NS7137",HORDN137
